USAGE_DATE,RPT_NM,ADJ_CCF,USAGE_THERM,CUST_COUNT,GT0COUNT
2021-06-23,AMI_INDS_EXCL_CAT,578038.629,593484.476,14654,9327
2021-06-23,AMI_COMM_EXCL_CAT,1689590.052,1732776.688,199686,142017
2021-06-23,AMI_RES_EXCL_CAT,3466041.208,3543132.52,5577669,5355504
2021-06-22,AMI_COMM_EXCL_CAT,1641312.954,1683438.65,199637,141753
2021-06-22,AMI_INDS_EXCL_CAT,573195.935,588588.862,14648,9285
2021-06-22,AMI_RES_EXCL_CAT,3476584.538,3554476.187,5578425,5357176
2021-06-21,AMI_RES_EXCL_CAT,3483361.869,3561747.189,5577583,5356068
2021-06-21,AMI_COMM_EXCL_CAT,1509931.989,1549527.26,199575,141136
2021-06-21,AMI_INDS_EXCL_CAT,532313.68,546703.911,14647,9163
2021-06-20,AMI_RES_EXCL_CAT,3698627.997,3781824.54,5576567,5330740
2021-06-20,AMI_COMM_EXCL_CAT,1276647.985,1311851.945,199561,134976
2021-06-20,AMI_INDS_EXCL_CAT,204972.024,210427.067,14647,7663
2021-06-19,AMI_COMM_EXCL_CAT,1403434.054,1441442.081,199549,137157
2021-06-19,AMI_RES_EXCL_CAT,3544733.694,3624560.799,5577218,5322718
2021-06-19,AMI_INDS_EXCL_CAT,287201.346,294962.65,14646,8091
2021-06-18,AMI_COMM_EXCL_CAT,1603361.732,1645315.659,199622,141121
2021-06-18,AMI_RES_EXCL_CAT,3489021.062,3567817.551,5578958,5337998
2021-06-18,AMI_INDS_EXCL_CAT,512469.133,526602.308,14652,9129
2021-06-17,AMI_INDS_EXCL_CAT,560667.084,575838.889,14648,9236
2021-06-17,AMI_RES_EXCL_CAT,3419087.5,3496103.249,5579196,5351647
2021-06-17,AMI_COMM_EXCL_CAT,1541905.954,1581742.851,199587,141126
2021-06-16,AMI_INDS_EXCL_CAT,543712.613,558533.857,14642,9240
2021-06-16,AMI_COMM_EXCL_CAT,1475848.422,1514153.693,199453,140893
