Date,OCC,Company,Data type,Usage,Percentage,Status,Number of meters read,Total number of meters,Raw CCF,Read usage,Update
2021-12-27,Z99,SCG,AUF,43967,100,0,0,0,0,43967,2020-12-28
2021-12-27,Z99,SCG,COM,170015,99,0,176891,179091,1576729,168023,2020-12-28
2021-12-27,Z99,SCG,IND,24347,98,0,14907,15136,221541,24018,2020-12-28
2021-12-27,Z99,SCG,NGV,2773,98,0,217,221,25920,2723,2020-12-28
2021-12-27,Z99,SCG,RES,977588,99,0,5538104,5595109,9524818,967560,2020-12-28
2021-12-27,Z99,SCG,USE,737,100,0,0,0,0,737,2020-12-28
2021-06-24,Z99,SCG,AUF,884,100,0,0,0,0,884,2021-06-25
2021-06-24,Z99,SCG,COM,172216,98,0,176901,180250,1569188,169137,2021-06-25
2021-06-24,Z99,SCG,IND,60100,98,0,14839,15172,533652,58906,2021-06-25
2021-06-24,Z99,SCG,NGV,13977,97,0,209,215,128303,13594,2021-06-25
2021-06-24,Z99,SCG,RES,369660,99,0,5552802,5621019,3548444,365169,2021-06-25
2021-06-24,Z99,SCG,USE,737,100,0,0,0,0,737,2021-06-25
2021-06-23,Z99,SCG,AUF,884,100,0,0,0,0,884,2021-06-25
2021-06-23,Z99,SCG,COM,166968,98,0,177481,180251,1525107,164501,2021-06-25
2021-06-23,Z99,SCG,IND,59801,98,0,14889,15173,532391,58799,2021-06-25
2021-06-23,Z99,SCG,NGV,13980,97,0,209,215,128400,13596,2021-06-25
2021-06-23,Z99,SCG,RES,365656,99,0,5573047,5620896,3522447,362538,2021-06-25
2021-06-23,Z99,SCG,USE,737,100,0,0,0,0,737,2021-06-25
2021-06-22,Z99,SCG,AUF,884,100,0,0,0,0,884,2021-06-25
2021-06-22,Z99,SCG,COM,163340,98,0,177417,180238,1490304,160883,2021-06-25
2021-06-22,Z99,SCG,IND,59538,98,0,14902,15174,530812,58590,2021-06-25
2021-06-22,Z99,SCG,NGV,14425,98,0,210,215,133325,14093,2021-06-25
2021-06-22,Z99,SCG,RES,367097,99,0,5571911,5620473,3535572,363920,2021-06-25
2021-06-22,Z99,SCG,USE,737,100,0,0,0,0,737,2021-06-25
2021-06-21,Z99,SCG,AUF,884,100,0,0,0,0,884,2021-06-25
2021-06-21,Z99,SCG,COM,149279,98,0,177480,180253,1358945,147076,2021-06-25
2021-06-21,Z99,SCG,IND,54334,98,0,14896,15172,484471,53453,2021-06-25
2021-06-21,Z99,SCG,NGV,11016,98,0,210,215,101638,10763,2021-06-25
2021-06-21,Z99,SCG,RES,367738,99,0,5572716,5621230,3541823,364558,2021-06-25
2021-06-21,Z99,SCG,USE,737,100,0,0,0,0,737,2021-06-25
2021-06-20,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-25
2021-06-20,Z99,SCG,COM,134137,98,1,177508,180244,1228622,132175,2021-06-25
2021-06-20,Z99,SCG,IND,20684,98,1,14883,15173,184516,20329,2021-06-25
2021-06-20,Z99,SCG,NGV,2486,98,1,209,214,22918,2428,2021-06-25
2021-06-20,Z99,SCG,RES,391606,99,1,5572975,5620767,3774242,388269,2021-06-25
2021-06-20,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-25
2021-06-19,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-24
2021-06-19,Z99,SCG,COM,144920,98,1,177525,180240,1325952,142822,2021-06-24
2021-06-19,Z99,SCG,IND,30635,98,1,14888,15174,273934,30116,2021-06-24
2021-06-19,Z99,SCG,NGV,7064,98,1,209,214,65466,6900,2021-06-24
2021-06-19,Z99,SCG,RES,375032,99,1,5572350,5620139,3613587,371837,2021-06-24
2021-06-19,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-24
2021-06-18,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-23
2021-06-18,Z99,SCG,COM,154725,98,1,177430,180257,1409507,152404,2021-06-23
2021-06-18,Z99,SCG,IND,52821,98,1,14892,15180,471204,51918,2021-06-23
2021-06-18,Z99,SCG,NGV,13591,98,1,209,214,125669,13277,2021-06-23
2021-06-18,Z99,SCG,RES,357806,99,1,5572126,5620417,3446275,354728,2021-06-23
2021-06-18,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-23
2021-06-17,Z99,SCG,AUF,884,100,0,0,0,0,884,2021-06-22
2021-06-17,Z99,SCG,COM,147012,98,0,177428,180258,1337361,144803,2021-06-22
2021-06-17,Z99,SCG,IND,58074,98,0,14896,15182,517697,57097,2021-06-22
2021-06-17,Z99,SCG,NGV,14936,98,0,209,214,138132,14591,2021-06-22
2021-06-17,Z99,SCG,RES,351773,99,0,5571595,5620286,3388013,348720,2021-06-22
2021-06-17,Z99,SCG,USE,737,100,0,0,0,0,737,2021-06-22
2021-06-16,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-21
2021-06-16,Z99,SCG,COM,144268,98,1,177455,180250,1312056,142125,2021-06-21
2021-06-16,Z99,SCG,IND,58074,98,1,14901,15180,518554,57125,2021-06-21
2021-06-16,Z99,SCG,NGV,14626,98,1,209,214,135277,14288,2021-06-21
2021-06-16,Z99,SCG,RES,351334,99,1,5571392,5620310,3384259,348270,2021-06-21
2021-06-16,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-21
2021-06-15,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-20
2021-06-15,Z99,SCG,COM,142642,98,1,177442,180234,1297152,140528,2021-06-20
2021-06-15,Z99,SCG,IND,57332,98,1,14892,15177,512224,56363,2021-06-20
2021-06-15,Z99,SCG,NGV,13824,98,1,209,214,127827,13505,2021-06-20
2021-06-15,Z99,SCG,RES,356340,99,1,5569845,5619639,3432895,353175,2021-06-20
2021-06-15,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-20
2021-06-14,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-19
2021-06-14,Z99,SCG,COM,143204,98,1,177431,180220,1302467,141081,2021-06-19
2021-06-14,Z99,SCG,IND,52997,98,1,14905,15184,473460,52128,2021-06-19
2021-06-14,Z99,SCG,NGV,10316,98,1,209,214,95237,10078,2021-06-19
2021-06-14,Z99,SCG,RES,376114,99,1,5571869,5620360,3624593,372862,2021-06-19
2021-06-14,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-19
2021-06-13,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-18
2021-06-13,Z99,SCG,COM,135364,98,1,177489,180195,1240280,133404,2021-06-18
2021-06-13,Z99,SCG,IND,22380,98,1,14911,15180,201367,22019,2021-06-18
2021-06-13,Z99,SCG,NGV,2655,98,1,209,214,24480,2593,2021-06-18
2021-06-13,Z99,SCG,RES,416319,99,1,5572500,5619892,4015564,412798,2021-06-18
2021-06-13,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-18
2021-06-12,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-17
2021-06-12,Z99,SCG,COM,148910,98,1,177465,180203,1362733,146729,2021-06-17
2021-06-12,Z99,SCG,IND,31513,98,1,14922,15180,283008,31028,2021-06-17
2021-06-12,Z99,SCG,NGV,6447,98,1,209,214,59730,6297,2021-06-17
2021-06-12,Z99,SCG,RES,426744,99,1,5571486,5619328,4116820,423099,2021-06-17
2021-06-12,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-17
2021-06-11,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-16
2021-06-11,Z99,SCG,COM,168486,98,1,177295,180209,1533975,165871,2021-06-16
2021-06-11,Z99,SCG,IND,55811,98,1,14921,15180,499131,54947,2021-06-16
2021-06-11,Z99,SCG,NGV,12573,97,1,207,214,114942,12167,2021-06-16
2021-06-11,Z99,SCG,RES,422450,99,1,5571019,5619409,4073694,418802,2021-06-16
2021-06-11,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-16
2021-06-10,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-15
2021-06-10,Z99,SCG,COM,170811,98,1,177218,180194,1551294,168110,2021-06-15
2021-06-10,Z99,SCG,IND,61395,98,1,14907,15185,548400,60401,2021-06-15
2021-06-10,Z99,SCG,NGV,13514,97,1,207,214,123518,13080,2021-06-15
2021-06-10,Z99,SCG,RES,434658,99,1,5567782,5619167,4189236,430673,2021-06-15
2021-06-10,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-15
2021-06-09,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-14
2021-06-09,Z99,SCG,COM,167095,98,1,177341,180176,1518096,164577,2021-06-14
2021-06-09,Z99,SCG,IND,60661,98,1,14916,15180,541323,59734,2021-06-14
2021-06-09,Z99,SCG,NGV,14024,97,1,208,214,128942,13637,2021-06-14
2021-06-09,Z99,SCG,RES,424089,99,1,5571335,5618996,4088167,420483,2021-06-14
2021-06-09,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-14
2021-06-08,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-13
2021-06-08,Z99,SCG,COM,166713,98,1,177337,180177,1513559,164191,2021-06-13
2021-06-08,Z99,SCG,IND,61094,98,1,14915,15183,545037,60146,2021-06-13
2021-06-08,Z99,SCG,NGV,13907,97,1,208,214,127863,13523,2021-06-13
2021-06-08,Z99,SCG,RES,433808,99,1,5570177,5618250,4182371,430086,2021-06-13
2021-06-08,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-13
2021-06-07,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-12
2021-06-07,Z99,SCG,COM,167088,98,1,177353,180156,1516017,164600,2021-06-12
2021-06-07,Z99,SCG,IND,57414,98,1,14917,15186,512150,56517,2021-06-12
2021-06-07,Z99,SCG,NGV,10967,97,1,207,214,100062,10616,2021-06-12
2021-06-07,Z99,SCG,RES,447746,99,1,5571392,5619059,4314945,443940,2021-06-12
2021-06-07,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-12
2021-06-06,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-11
2021-06-06,Z99,SCG,COM,142478,98,1,177395,180099,1303534,140413,2021-06-11
2021-06-06,Z99,SCG,IND,23585,98,1,14907,15180,212218,23208,2021-06-11
2021-06-06,Z99,SCG,NGV,3533,97,1,208,215,32380,3417,2021-06-11
2021-06-06,Z99,SCG,RES,435049,99,1,5571554,5618611,4194662,431397,2021-06-11
2021-06-06,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-11
2021-06-05,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-10
2021-06-05,Z99,SCG,COM,152562,98,1,177360,180099,1394901,150322,2021-06-10
2021-06-05,Z99,SCG,IND,33850,98,1,14914,15180,304256,33326,2021-06-10
2021-06-05,Z99,SCG,NGV,9039,96,1,207,215,82433,8703,2021-06-10
2021-06-05,Z99,SCG,RES,421743,99,1,5569977,5618080,4065692,418123,2021-06-10
2021-06-05,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-10
2021-06-04,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-09
2021-06-04,Z99,SCG,COM,165941,98,1,177190,180140,1509328,163331,2021-06-09
2021-06-04,Z99,SCG,IND,58034,98,1,14875,15184,516540,56982,2021-06-09
2021-06-04,Z99,SCG,NGV,13478,96,1,206,215,121962,12918,2021-06-09
2021-06-04,Z99,SCG,RES,398003,99,1,5567565,5618570,3832329,394384,2021-06-09
2021-06-04,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-09
2021-06-03,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-08
2021-06-03,Z99,SCG,COM,161888,98,1,177324,180162,1471810,159449,2021-06-08
2021-06-03,Z99,SCG,IND,61600,98,1,14896,15188,548964,60551,2021-06-08
2021-06-03,Z99,SCG,NGV,14962,97,1,208,215,137008,14477,2021-06-08
2021-06-03,Z99,SCG,RES,400993,99,1,5570079,5618741,3861853,397515,2021-06-08
2021-06-03,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-08
2021-06-02,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-07
2021-06-02,Z99,SCG,COM,161325,98,1,177285,180126,1466524,158894,2021-06-07
2021-06-02,Z99,SCG,IND,61243,98,1,14904,15190,545940,60223,2021-06-07
2021-06-02,Z99,SCG,NGV,14197,97,1,208,215,129757,13737,2021-06-07
2021-06-02,Z99,SCG,RES,407252,99,1,5568703,5618175,3921513,403660,2021-06-07
2021-06-02,Z99,SCG,USE,737,100,1,0,0,0,737,2021-06-07
2021-06-01,Z99,SCG,AUF,884,100,1,0,0,0,884,2021-06-06
2021-06-01,Z99,SCG,COM,157269,98,1,177361,180184,1428935,154910,2021-06-06
2021-06-01,Z99,SCG,IND,55589,98,1,14906,15192,496212,54658,2021-06-06
2021-06-01,Z99,SCG,NGV,11605,96,1,207,215,105541,11174,2021-06-06
2021-06-01,Z99,SCG,RES,411667,99,1,5571041,5620509,3964854,408037,2021-06-06
