USAGE_DATE,RPT_NM,USAGE_CCF,USAGE_THERM,CUST_COUNT,LATEST_UPDATE
2021-05-01,NON_AM_COMM_EXCL_CAT,35928.091,37226.235,33025,2021-06-08
2021-05-01,NON_AM_COMM_INCL_CAT,2247.761,2324.593,320,2021-06-08
2021-05-01,NON_AM_COMPANY_USE,89276.0,92170.0,126,2021-06-08
2021-05-01,NON_AM_INDS_EXCL_CAT,8145.439,8420.058,4929,2021-06-08
2021-05-01,NON_AM_INDS_INCL_CAT,0.0,0.0,16,2021-06-08
2021-05-01,NON_AM_NONCORE,0.0,0.0,195,2021-06-08
2021-05-01,NON_AM_RES_EXCL_CAT,66962.307,68993.787,133981,2021-06-08
2021-05-01,NON_AM_RES_INCL_CAT,489.061,504.73,725,2021-06-08
2021-04-01,NON_AM_COMM_EXCL_CAT,52802.899,54864.516,57453,2021-06-08
2021-04-01,NON_AM_COMM_INCL_CAT,6268.455,6485.831,508,2021-06-08
2021-04-01,NON_AM_COMPANY_USE,95627.0,99116.0,127,2021-06-08
2021-04-01,NON_AM_INDS_EXCL_CAT,18693.487,19377.198,8348,2021-06-08
2021-04-01,NON_AM_INDS_INCL_CAT,34.775,35.897,24,2021-06-08
2021-04-01,NON_AM_NONCORE,13753451.781,14208087.448,1308,2021-06-08
2021-04-01,NON_AM_RES_EXCL_CAT,90630.208,93853.493,189406,2021-06-08
2021-04-01,NON_AM_RES_INCL_CAT,597.204,619.023,1204,2021-06-08
2021-03-01,NON_AM_COMM_EXCL_CAT,68392.479,70794.807,57478,2021-06-08
2021-03-01,NON_AM_COMM_INCL_CAT,9787.574,10131.808,522,2021-06-08
2021-03-01,NON_AM_COMPANY_USE,91725.0,94479.0,127,2021-06-08
2021-03-01,NON_AM_INDS_EXCL_CAT,18449.876,19070.268,8378,2021-06-08
2021-03-01,NON_AM_INDS_INCL_CAT,285.759,297.483,23,2021-06-08
2021-03-01,NON_AM_NONCORE,14270530.491,14794409.572,1315,2021-06-08
2021-03-01,NON_AM_RES_EXCL_CAT,131283.898,135532.678,188394,2021-06-08
2021-03-01,NON_AM_RES_INCL_CAT,1113.372,1147.662,1203,2021-06-08
2021-02-01,NON_AM_COMM_EXCL_CAT,71420.235,74108.248,57598,2021-06-08
2021-02-01,NON_AM_COMM_INCL_CAT,7694.257,7978.392,542,2021-06-08
2021-02-01,NON_AM_COMPANY_USE,117609.0,121819.0,127,2021-06-08
2021-02-01,NON_AM_INDS_EXCL_CAT,20723.461,21465.996,8391,2021-06-08
2021-02-01,NON_AM_INDS_INCL_CAT,2.677,2.774,23,2021-06-08
2021-02-01,NON_AM_NONCORE,12252793.983,12691559.16,1313,2021-06-08
2021-02-01,NON_AM_RES_EXCL_CAT,145316.196,150580.489,186705,2021-06-08
2021-02-01,NON_AM_RES_INCL_CAT,1135.7,1173.433,1223,2021-06-08
2021-01-01,NON_AM_COMM_EXCL_CAT,67490.901,69845.67,34152,2021-06-08
2021-01-01,NON_AM_COMM_INCL_CAT,5775.709,5968.424,369,2021-06-08
2021-01-01,NON_AM_COMPANY_USE,115346.0,118902.0,126,2021-06-08
2021-01-01,NON_AM_INDS_EXCL_CAT,13393.324,13814.416,5051,2021-06-08
2021-01-01,NON_AM_INDS_INCL_CAT,112.178,115.875,18,2021-06-08
2021-01-01,NON_AM_NONCORE,14418240.877,14921794.535,1311,2021-06-08
2021-01-01,NON_AM_RES_EXCL_CAT,154929.073,159960.202,139223,2021-06-08
2021-01-01,NON_AM_RES_INCL_CAT,1660.537,1708.245,923,2021-06-08
2020-12-01,NON_AM_COMM_EXCL_CAT,55401.993,56963.208,58003,2021-06-08
2020-12-01,NON_AM_COMM_INCL_CAT,4915.871,5028.696,511,2021-06-08
2020-12-01,NON_AM_COMPANY_USE,104015.0,106506.0,114,2021-06-08
2020-12-01,NON_AM_INDS_EXCL_CAT,10081.857,10353.471,8453,2021-06-08
2020-12-01,NON_AM_INDS_INCL_CAT,397.455,407.416,26,2021-06-08
2020-12-01,NON_AM_NONCORE,14889420.816,15411056.703,1309,2021-06-08
2020-12-01,NON_AM_RES_EXCL_CAT,133470.355,136690.331,194124,2021-06-08
2020-12-01,NON_AM_RES_INCL_CAT,1156.761,1182.802,1306,2021-06-08
2020-11-01,NON_AM_COMM_EXCL_CAT,48271.938,49752.721,33758,2021-06-08
2020-11-01,NON_AM_COMM_INCL_CAT,5630.228,5792.678,340,2021-06-08
2020-11-01,NON_AM_COMPANY_USE,94846.0,97349.0,125,2021-06-08
2020-11-01,NON_AM_INDS_EXCL_CAT,9012.167,9260.543,5027,2021-06-08
2020-11-01,NON_AM_INDS_INCL_CAT,994.352,1021.233,19,2021-06-08
2020-11-01,NON_AM_NONCORE,14926728.35,15362128.834,1315,2021-06-08
2020-11-01,NON_AM_RES_EXCL_CAT,81476.662,83415.67,137326,2021-06-08
2020-11-01,NON_AM_RES_INCL_CAT,693.708,711.496,823,2021-06-08
2020-10-01,NON_AM_COMM_EXCL_CAT,119434.941,122091.96,57477,2021-06-08
2020-10-01,NON_AM_COMM_INCL_CAT,3090.157,3169.89,503,2021-06-08
2020-10-01,NON_AM_COMPANY_USE,104547.0,106873.0,126,2021-06-08
