Date,OCC,Status,Usage,Percentage,Number of meters read,Total number of meters,Update
2021-06-14,Z99,0.0,83226,98.0,892242,910226,2021-06-15
2021-06-14,CAT,0.0,9427,100.0,2705,2705,2021-06-15
2021-06-13,Z99,0.0,84655,99.0,898689,910226,2021-06-15
2021-06-13,CAT,0.0,15802,100.0,5451,5451,2021-06-15
2021-06-12,Z99,0.0,89501,99.0,900069,910226,2021-06-15
2021-06-12,CAT,0.0,26689,100.0,8213,8213,2021-06-15
2021-06-11,Z99,0.0,93135,99.0,900627,910226,2021-06-15
2021-06-11,CAT,0.0,42819,100.0,10980,10980,2021-06-15
2021-06-10,Z99,1.0,94263,99.0,900939,910226,2021-06-15
2021-06-10,CAT,0.2,53729,100.0,13725,13725,2021-06-15
2021-06-09,Z99,1.0,92334,99.0,901039,910226,2021-06-14
2021-06-09,CAT,0.2,53448,100.0,13742,13742,2021-06-14
2021-06-08,Z99,1.0,94731,99.0,901106,910226,2021-06-13
2021-06-08,CAT,0.2,53867,100.0,13731,13731,2021-06-13
2021-06-07,Z99,1.0,97286,99.0,901353,910226,2021-06-12
2021-06-07,CAT,0.2,50291,100.0,13769,13769,2021-06-12
2021-06-06,Z99,1.0,90308,99.0,901481,910226,2021-06-11
2021-06-06,CAT,0.2,41836,100.0,13785,13785,2021-06-11
2021-06-05,Z99,1.0,90044,99.0,901471,910226,2021-06-10
2021-06-05,CAT,0.2,46493,100.0,13769,13769,2021-06-10
2021-06-04,Z99,1.0,92010,99.0,901392,910226,2021-06-09
2021-06-04,CAT,0.2,53547,100.0,13740,13740,2021-06-09
2021-06-03,Z99,1.0,92012,99.0,901334,910226,2021-06-08
2021-06-03,CAT,0.2,53009,100.0,13750,13750,2021-06-08
2021-06-02,Z99,1.0,93995,99.0,901370,910226,2021-06-07
2021-06-02,CAT,0.2,55019,100.0,13760,13760,2021-06-07
2021-06-01,Z99,1.0,91437,99.0,901314,910226,2021-06-06
2021-06-01,CAT,0.2,50643,100.0,13755,13755,2021-06-06
2021-05-31,Z99,1.0,97937,99.0,900634,910226,2021-06-03
2021-05-31,CAT,0.3333333333333333,24356,100.0,8245,8245,2021-06-03
2021-05-30,Z99,1.0,95515,99.0,901128,910226,2021-06-03
2021-05-30,CAT,0.25,32783,100.0,11008,11008,2021-06-03
2021-05-29,Z99,1.0,97800,99.0,901355,910226,2021-06-03
2021-05-29,CAT,0.2,45736,100.0,13780,13780,2021-06-03
2021-05-28,Z99,1.0,95455,99.0,901296,910226,2021-06-02
2021-05-28,CAT,0.2,51104,100.0,13744,13744,2021-06-02
2021-05-27,Z99,1.0,93369,99.0,901204,910226,2021-06-01
