Date,OCC,Company,Data type,Usage,Percentage,Status,Number of meters read,Total number of meters,Raw CCF,Read usage,Update
2021-06-19,Z99,SDGE,COM,25397,95,0,30500,32180,220459,24107,2021-06-20
2021-06-19,Z99,SDGE,IND,3869,94,0,1604,1705,30628,3647,2021-06-20
2021-06-19,Z99,SDGE,NGV,2627,94,0,31,33,24430,2443,2021-06-20
2021-06-19,Z99,SDGE,RES,51822,98,0,862247,876308,504483,50988,2021-06-20
2021-06-18,Z99,SDGE,COM,26690,96,0,30821,32180,232741,25596,2021-06-20
2021-06-18,Z99,SDGE,IND,4778,95,0,1621,1705,38117,4550,2021-06-20
2021-06-18,Z99,SDGE,NGV,3678,94,0,31,33,34185,3421,2021-06-20
2021-06-18,Z99,SDGE,RES,49836,99,0,866716,876308,487520,49295,2021-06-20
2021-06-17,Z99,SDGE,COM,26007,96,0,30922,32180,226808,25024,2021-06-20
2021-06-17,Z99,SDGE,IND,4971,96,0,1630,1705,39869,4761,2021-06-20
2021-06-17,Z99,SDGE,NGV,3734,94,0,31,33,34727,3473,2021-06-20
2021-06-17,Z99,SDGE,RES,49131,99,0,867727,876308,481102,48656,2021-06-20
2021-06-16,Z99,SDGE,COM,25260,96,0,30974,32180,220857,24345,2021-06-20
2021-06-16,Z99,SDGE,IND,4779,96,0,1631,1705,38410,4578,2021-06-20
2021-06-16,Z99,SDGE,NGV,3642,94,0,31,33,33877,3388,2021-06-20
2021-06-16,Z99,SDGE,RES,48982,99,0,868150,876308,479828,48530,2021-06-20
2021-06-15,Z99,SDGE,COM,24357,96,1,31003,32180,213312,23495,2021-06-20
2021-06-15,Z99,SDGE,IND,4765,96,1,1636,1705,38296,4578,2021-06-20
2021-06-15,Z99,SDGE,NGV,3481,94,1,31,33,32377,3238,2021-06-20
2021-06-15,Z99,SDGE,RES,48372,99,1,868506,876308,473918,47939,2021-06-20
2021-06-14,Z99,SDGE,COM,25207,96,1,31019,32180,220081,24329,2021-06-19
2021-06-14,Z99,SDGE,IND,4840,96,1,1636,1705,38810,4650,2021-06-19
2021-06-14,Z99,SDGE,NGV,2216,94,1,31,33,20604,2061,2021-06-19
2021-06-14,Z99,SDGE,RES,51321,99,1,868526,876308,502894,50866,2021-06-19
2021-06-13,Z99,SDGE,COM,24631,96,1,31019,32180,216855,23767,2021-06-18
2021-06-13,Z99,SDGE,IND,3518,96,1,1636,1705,28302,3379,2021-06-18
2021-06-13,Z99,SDGE,NGV,870,94,1,31,33,8090,809,2021-06-18
2021-06-13,Z99,SDGE,RES,55839,99,1,868580,876308,547633,55348,2021-06-18
2021-06-12,Z99,SDGE,COM,26615,96,1,31011,32180,234007,25674,2021-06-17
2021-06-12,Z99,SDGE,IND,3863,96,1,1634,1705,31125,3706,2021-06-17
2021-06-12,Z99,SDGE,NGV,2636,94,1,31,33,24518,2452,2021-06-17
2021-06-12,Z99,SDGE,RES,56530,99,1,868555,876308,554371,56030,2021-06-17
2021-06-11,Z99,SDGE,COM,29095,96,1,31000,32180,254067,28064,2021-06-16
2021-06-11,Z99,SDGE,IND,4896,96,1,1633,1705,39185,4694,2021-06-16
2021-06-11,Z99,SDGE,NGV,3392,97,1,32,33,32878,3289,2021-06-16
2021-06-11,Z99,SDGE,RES,55806,99,1,868462,876308,546883,55308,2021-06-16
2021-06-10,Z99,SDGE,COM,29263,96,1,30997,32180,254656,28226,2021-06-15
2021-06-10,Z99,SDGE,IND,5303,96,1,1631,1705,42500,5079,2021-06-15
2021-06-10,Z99,SDGE,NGV,3352,97,1,32,33,32490,3250,2021-06-15
