USAGE_DATE,RPT_NM,USAGE_CCF,USAGE_THERM,CUST_COUNT,LATEST_UPDATE
2021-05-01,NON_AM_COMM_EXCL_CAT,5463.127,5640.572,5511,2021-06-08
2021-05-01,NON_AM_COMM_INCL_CAT,129.721,133.792,47,2021-06-08
2021-05-01,NON_AM_COMPANY_USE,6350.0,6449.0,24,2021-06-08
2021-05-01,NON_AM_INDS_EXCL_CAT,1750.494,1806.346,569,2021-06-08
2021-05-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2021-05-01,NON_AM_RES_EXCL_CAT,9518.078,9755.682,18694,2021-06-08
2021-05-01,NON_AM_RES_INCL_CAT,68.98,71.098,74,2021-06-08
2021-04-01,NON_AM_COMM_EXCL_CAT,7630.716,7916.815,9726,2021-06-08
2021-04-01,NON_AM_COMM_INCL_CAT,3222.753,3328.235,86,2021-06-08
2021-04-01,NON_AM_COMPANY_USE,7080.0,7202.0,23,2021-06-08
2021-04-01,NON_AM_INDS_EXCL_CAT,2319.464,2397.229,1217,2021-06-08
2021-04-01,NON_AM_INDS_INCL_CAT,9.517,9.897,3,2021-06-08
2021-04-01,NON_AM_RES_EXCL_CAT,13792.457,14248.401,25212,2021-06-08
2021-04-01,NON_AM_RES_INCL_CAT,115.214,119.387,106,2021-06-08
2021-03-01,NON_AM_COMM_EXCL_CAT,9215.587,9484.447,9760,2021-06-08
2021-03-01,NON_AM_COMM_INCL_CAT,3425.349,3547.902,86,2021-06-08
2021-03-01,NON_AM_COMPANY_USE,8438.0,8475.0,23,2021-06-08
2021-03-01,NON_AM_INDS_EXCL_CAT,3562.776,3678.285,1219,2021-06-08
2021-03-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2021-03-01,NON_AM_RES_EXCL_CAT,20923.822,21461.07,25127,2021-06-08
2021-03-01,NON_AM_RES_INCL_CAT,604.293,621.617,95,2021-06-08
2021-02-01,NON_AM_COMM_EXCL_CAT,8918.465,9179.379,9740,2021-06-08
2021-02-01,NON_AM_COMM_INCL_CAT,512.494,527.632,90,2021-06-08
2021-02-01,NON_AM_COMPANY_USE,8075.0,8113.0,24,2021-06-08
2021-02-01,NON_AM_INDS_EXCL_CAT,3169.239,3267.56,1221,2021-06-08
2021-02-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2021-02-01,NON_AM_RES_EXCL_CAT,23373.869,23997.136,24844,2021-06-08
2021-02-01,NON_AM_RES_INCL_CAT,569.872,586.385,101,2021-06-08
2021-01-01,NON_AM_COMM_EXCL_CAT,8874.167,9068.142,5615,2021-06-08
2021-01-01,NON_AM_COMM_INCL_CAT,578.921,591.526,59,2021-06-08
2021-01-01,NON_AM_COMPANY_USE,9006.0,8982.0,24,2021-06-08
2021-01-01,NON_AM_INDS_EXCL_CAT,2190.211,2241.092,583,2021-06-08
2021-01-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2021-01-01,NON_AM_RES_EXCL_CAT,26762.244,27278.992,19656,2021-06-08
2021-01-01,NON_AM_RES_INCL_CAT,658.207,671.374,157,2021-06-08
2020-12-01,NON_AM_COMM_EXCL_CAT,6290.991,6400.454,9758,2021-06-08
2020-12-01,NON_AM_COMM_INCL_CAT,242.649,246.92,80,2021-06-08
2020-12-01,NON_AM_COMPANY_USE,7186.0,7139.0,22,2021-06-08
2020-12-01,NON_AM_INDS_EXCL_CAT,488.881,499.22,1235,2021-06-08
2020-12-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2020-12-01,NON_AM_RES_EXCL_CAT,20499.055,20804.225,26416,2021-06-08
2020-12-01,NON_AM_RES_INCL_CAT,496.643,505.103,112,2021-06-08
2020-11-01,NON_AM_COMM_EXCL_CAT,4013.675,4101.465,5564,2021-06-08
2020-11-01,NON_AM_COMM_INCL_CAT,266.478,272.379,55,2021-06-08
2020-11-01,NON_AM_COMPANY_USE,5827.0,5872.0,24,2021-06-08
2020-11-01,NON_AM_INDS_EXCL_CAT,402.99,412.47,566,2021-06-08
2020-11-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2020-11-01,NON_AM_RES_EXCL_CAT,10829.496,10980.419,19480,2021-06-08
2020-11-01,NON_AM_RES_INCL_CAT,59.603,60.586,81,2021-06-08
2020-10-01,NON_AM_COMM_EXCL_CAT,1724.5,1755.211,9726,2021-06-08
2020-10-01,NON_AM_COMM_INCL_CAT,352.258,359.024,84,2021-06-08
2020-10-01,NON_AM_COMPANY_USE,14497.0,14700.0,24,2021-06-08
2020-10-01,NON_AM_INDS_EXCL_CAT,8570.562,8759.322,1231,2021-06-08
2020-10-01,NON_AM_INDS_INCL_CAT,0.0,0.0,2,2021-06-08
2020-10-01,NON_AM_RES_EXCL_CAT,6629.462,6681.181,25362,2021-06-08
