Date,SoCal_COM,SoCal_IND,SoCal_NGV,SoCal_RES,SoCal_TOTAL,SoCal_METERS,SD_COM,SD_IND,SD_NGV,SD_RES,SD_TOTAL,SD_METERS,SEU_COM,SEU_IND,SEU_NGV,SEU_RES,SEU_TOTAL,SEU_METERS
2021-06-24,172.216,60.1,13.977,369.66,615.953,5816656.0,26.501,5.102,3.744,50.004,85.351,910226,198.717,65.202,17.721,419.66400000000004,701.304,6726882.0
2021-06-23,166.968,59.801,13.98,365.656,606.405,5816535.0,27.015,5.158,3.429,50.767,86.369,910226,193.983,64.959,17.409,416.423,692.774,6726761.0
2021-06-22,163.34,59.538,14.425,367.097,604.4,5816100.0,26.242,5.158,3.317,50.525,85.242,910226,189.582,64.696,17.742,417.62199999999996,689.6419999999999,6726326.0
2021-06-21,149.279,54.334,11.016,367.738,582.367,5816870.0,25.359,4.935,2.146,50.475,82.915,910226,174.638,59.269000000000005,13.161999999999999,418.213,665.2819999999999,6727096.0
2021-06-20,134.137,20.684,2.486,391.606,548.913,5816398.0,24.558,3.722,0.838,54.074,83.192,910226,158.695,24.406000000000002,3.3240000000000003,445.68,632.105,6726624.0
2021-06-19,144.92,30.635,7.064,375.032,557.651,5815767.0,25.572,3.926,2.52,51.891,83.909,910226,170.492,34.561,9.584,426.923,641.56,6725993.0
2021-06-18,154.725,52.821,13.591,357.806,578.943,5816068.0,26.787,4.806,3.678,49.868,85.139,910226,181.512,57.626999999999995,17.269,407.674,664.082,6726294.0
2021-06-17,147.012,58.074,14.936,351.773,571.795,5815940.0,26.087,5.005,3.734,49.144,83.97,910226,173.099,63.079,18.67,400.91700000000003,655.765,6726166.0
2021-06-16,144.268,58.074,14.626,351.334,568.302,5815954.0,25.259,4.771,3.642,48.986,82.658,910226,169.527,62.845,18.268,400.32,650.96,6726180.0
2021-06-15,142.642,57.332,13.824,356.34,570.138,5815264.0,24.357,4.765,3.481,48.372,80.975,910226,166.999,62.097,17.305,404.712,651.113,6725490.0
2021-06-14,143.204,52.997,10.316,376.114,582.631,5815978.0,25.207,4.84,2.216,51.321,83.584,910226,168.411,57.837,12.532,427.43499999999995,666.2149999999999,6726204.0
2021-06-13,135.364,22.38,2.655,416.319,576.718,5815481.0,24.631,3.518,0.87,55.839,84.858,910226,159.995,25.898,3.525,472.158,661.576,6725707.0
2021-06-12,148.91,31.513,6.447,426.744,613.614,5814925.0,26.615,3.863,2.636,56.53,89.644,910226,175.525,35.376000000000005,9.083,483.274,703.258,6725151.0
2021-06-11,168.486,55.811,12.573,422.45,659.32,5815012.0,29.095,4.896,3.392,55.806,93.189,910226,197.581,60.707,15.965,478.256,752.509,6725238.0
2021-06-10,170.811,61.395,13.514,434.658,680.378,5814760.0,29.263,5.303,3.352,56.345,94.263,910226,200.074,66.69800000000001,16.866,491.00300000000004,774.6410000000001,6724986.0
2021-06-09,167.095,60.661,14.024,424.089,665.869,5814566.0,28.461,5.284,3.37,55.219,92.334,910226,195.55599999999998,65.94500000000001,17.394,479.308,758.203,6724792.0
2021-06-08,166.713,61.094,13.907,433.808,675.522,5813824.0,28.66,5.374,3.349,57.348,94.731,910226,195.373,66.468,17.256,491.156,770.253,6724050.0
2021-06-07,167.088,57.414,10.967,447.746,683.215,5814615.0,29.928,5.42,2.143,59.795,97.286,910226,197.016,62.834,13.11,507.541,780.501,6724841.0
2021-06-06,142.478,23.585,3.533,435.049,604.645,5814105.0,26.005,3.722,1.551,59.031,90.309,910226,168.483,27.307000000000002,5.084,494.08,694.954,6724331.0
2021-06-05,152.562,33.85,9.039,421.743,617.194,5813574.0,26.419,3.905,3.098,56.622,90.044,910226,178.98100000000002,37.755,12.137,478.365,707.2379999999999,6723800.0
2021-06-04,165.941,58.034,13.478,398.003,635.456,5814109.0,29.062,4.941,3.427,54.58,92.01,910226,195.00300000000001,62.975,16.905,452.58299999999997,727.466,6724335.0
2021-06-03,161.888,61.6,14.962,400.993,639.443,5814306.0,28.414,5.065,3.6,54.933,92.012,910226,190.30200000000002,66.665,18.562,455.926,731.4549999999999,6724532.0
2021-06-02,161.325,61.243,14.197,407.252,644.017,5813706.0,28.862,5.278,3.324,56.531,93.995,910226,190.18699999999998,66.521,17.521,463.783,738.0120000000001,6723932.0
2021-06-01,157.269,55.589,11.605,411.667,636.13,5816100.0,27.691,5.077,2.327,56.343,91.438,910226,184.96,60.666,13.932,468.01,727.568,6726326.0
2021-05-31,142.807,22.97,3.278,488.425,657.48,5815735.0,26.799,4.005,1.166,65.966,97.936,910226,169.606,26.974999999999998,4.444,554.391,755.416,6725961.0
2021-05-30,143.687,19.031,2.578,477.069,642.365,5815405.0,27.592,3.705,0.841,63.377,95.515,910226,171.279,22.735999999999997,3.4189999999999996,540.446,737.88,6725631.0
