,Response_Zip_Code,NumResponses
0,93436,37
1,93230,37
2,90011,36
3,90008,35
4,90018,34
5,90044,34
6,90731,33
7,91342,33
8,90744,32
9,93257,32
10,90043,31
11,90047,30
12,90280,30
13,92243,29
14,90002,29
15,91331,29
16,92335,28
17,92805,27
18,90003,27
19,91801,27
20,90016,27
21,91766,25
22,90255,25
23,92220,25
24,92201,23
25,93536,23
26,93215,22
27,90037,22
28,90022,21
29,90059,20
30,90221,20
31,92251,19
32,93534,19
33,93455,19
34,90001,19
35,90032,18
36,91702,18
37,91405,17
38,90062,17
39,91732,17
40,93030,17
41,93535,16
42,92504,16
43,93101,16
44,90027,15
45,93292,15
46,93291,15
47,91340,15
48,90042,15
49,92411,15
50,93036,15
51,90303,14
52,91107,14
53,92544,14
54,91406,13
55,91106,13
56,92336,13
57,92231,13
58,90029,13
59,93618,13
60,90026,12
61,90250,12
62,90065,12
63,92704,12
64,90031,11
65,92545,11
66,92227,11
67,93033,11
68,92507,11
69,92503,11
70,91762,11
71,90305,11
72,90033,11
73,91402,11
74,91344,10
75,90023,10
76,92410,10
77,91763,10
78,91345,10
79,91722,10
80,90222,9
81,90019,9
82,92583,9
83,93277,9
84,90039,9
85,92405,9
86,93245,9
87,91343,9
88,92404,9
89,92543,9
90,91723,9
91,91767,9
92,90262,9
93,92505,9
94,91411,9
95,93551,9
96,92879,8
97,90220,8
98,92506,8
99,92236,8
100,90063,8
101,90732,8
102,90004,8
103,91764,8
104,91352,8
105,90660,8
106,90301,8
107,91206,7
108,91605,7
109,90670,7
110,92324,7
111,91791,7
112,91776,7
113,92882,7
114,91761,7
115,92801,7
116,93105,7
117,93035,7
118,90201,7
119,91733,6
120,91606,6
121,92703,6
122,92223,6
123,92249,6
124,92804,6
125,93401,6
126,93458,6
127,92501,6
128,90745,6
129,91770,6
130,91768,6
131,90302,6
132,91001,6
133,92337,6
134,92806,5
135,91325,5
136,91101,5
137,90710,5
138,91731,5
139,92582,5
140,92407,5
141,91103,5
142,90041,5
143,92316,5
144,93550,5
145,93552,5
146,91601,5
147,91706,5
148,91335,5
149,91789,4
150,90275,4
151,90270,4
152,91786,4
153,92376,4
154,90007,4
155,90028,4
156,93454,4
157,92211,4
158,90061,4
159,93405,4
160,92509,4
161,90038,4
162,92233,4
163,90045,4
164,90304,4
165,92881,4
166,93103,4
167,91803,4
168,91403,4
169,91202,4
170,91754,4
171,91744,4
172,92802,4
173,90501,4
174,91401,4
175,92860,4
176,93235,4
177,92880,3
178,91203,3
179,90040,3
180,93615,3
181,90006,3
182,91423,3
183,90068,3
184,91205,3
185,90046,3
186,90606,3
187,93250,3
188,93117,3
189,90240,3
190,92708,3
191,90723,3
192,91604,3
193,91745,3
194,90640,3
195,93221,3
196,92253,3
197,92508,3
198,93654,3
199,92250,3
200,91746,3
201,91607,3
202,91755,2
203,91765,2
204,90058,2
205,92260,2
206,90035,2
207,91752,2
208,90650,2
209,93274,2
210,90605,2
211,92707,2
212,91104,2
213,91775,2
214,92706,2
215,93109,2
216,92807,2
217,93110,2
218,92203,2
219,90601,2
220,90249,2
221,92683,2
222,93004,2
223,91790,2
224,91201,2
225,91367,2
226,91740,2
227,93242,2
228,91730,2
229,91724,2
230,93560,2
231,92870,2
232,92281,2
233,91701,2
234,91710,2
235,90015,2
236,93646,2
237,92843,2
238,93647,2
239,91204,2
240,93219,2
241,92374,1
242,90066,1
243,92377,1
244,93631,1
245,93267,1
246,92604,1
247,90077,1
248,93247,1
249,93272,1
250,90036,1
251,93444,1
252,92606,1
253,93266,1
254,93440,1
255,90012,1
256,92277,1
257,93422,1
258,93420,1
259,90069,1
260,93402,1
261,90034,1
262,92254,1
263,91105,1
264,92627,1
265,92352,1
266,93312,1
267,92341,1
268,93286,1
269,93280,1
270,93501,1
271,92530,1
272,93505,1
273,92408,1
274,92548,1
275,92273,1
276,90017,1
277,91436,1
278,93223,1
279,91320,1
280,91040,1
281,91042,1
282,92780,1
283,93021,1
284,91007,1
285,92378,1
286,92883,1
287,90242,1
288,91214,1
289,91302,1
290,91324,1
291,92647,1
292,91709,1
293,91326,1
294,92886,1
295,91207,1
296,93201,1
297,92867,1
298,91602,1
299,91024,1
300,91030,1
301,92840,1
302,91501,1
303,91502,1
304,91504,1
305,91006,1
306,90620,1
307,90247,1
308,90630,1
309,91780,1
310,90291,1
311,93111,1
312,92701,1
313,90603,1
314,90604,1
315,93010,1
316,90260,1
317,90621,1
318,93648,1
319,90706,1
320,90712,1
321,90717,1
322,93041,1
323,93023,1
324,91741,1
325,90746,1
326,92399,1
