,ZIP_CD,labels
1,90001.0,11
2,90002.0,11
3,90003.0,11
4,90004.0,22
5,90005.0,20
6,90006.0,20
7,90007.0,20
8,90008.0,20
9,90010.0,20
10,90011.0,20
11,90012.0,20
12,90013.0,20
13,90014.0,20
14,90015.0,20
15,90016.0,20
16,90017.0,20
17,90018.0,20
18,90019.0,20
19,90020.0,22
20,90021.0,20
21,90022.0,20
22,90023.0,20
23,90024.0,29
24,90025.0,29
25,90026.0,20
26,90027.0,22
27,90028.0,22
28,90029.0,22
29,90031.0,20
30,90032.0,20
31,90033.0,20
32,90034.0,20
33,90035.0,20
34,90036.0,22
35,90037.0,20
36,90038.0,22
37,90039.0,22
38,90040.0,20
39,90041.0,22
40,90042.0,20
41,90043.0,20
42,90044.0,11
43,90045.0,29
44,90046.0,22
45,90047.0,11
46,90048.0,20
47,90049.0,29
48,90056.0,20
49,90057.0,20
50,90058.0,20
51,90059.0,11
52,90061.0,11
53,90062.0,20
54,90063.0,20
55,90064.0,22
56,90065.0,20
57,90066.0,29
58,90067.0,29
59,90068.0,22
60,90069.0,22
61,90077.0,27
62,90089.0,20
63,90094.0,29
64,90095.0,29
65,90201.0,20
66,90210.0,29
67,90211.0,20
68,90212.0,20
69,90220.0,11
70,90221.0,11
71,90222.0,11
72,90230.0,29
73,90232.0,20
74,90240.0,20
75,90241.0,11
76,90242.0,11
77,90245.0,11
78,90247.0,11
79,90248.0,11
80,90249.0,11
81,90250.0,11
82,90254.0,11
83,90255.0,11
84,90260.0,11
85,90262.0,11
86,90265.0,16
87,90266.0,11
88,90270.0,20
89,90272.0,27
90,90274.0,11
91,90275.0,11
92,90277.0,11
93,90278.0,11
94,90280.0,11
95,90290.0,21
96,90291.0,29
97,90292.0,29
98,90293.0,29
99,90301.0,11
100,90302.0,20
101,90303.0,11
102,90304.0,11
103,90305.0,11
104,90382.0,15
105,90401.0,29
106,90402.0,29
107,90403.0,29
108,90404.0,29
109,90405.0,29
110,90501.0,11
111,90502.0,11
112,90503.0,11
113,90504.0,11
114,90505.0,11
115,90601.0,24
116,90602.0,24
117,90603.0,24
118,90604.0,24
119,90605.0,24
120,90606.0,11
121,90620.0,24
122,90621.0,24
123,90623.0,24
124,90630.0,24
125,90631.0,24
126,90638.0,24
127,90640.0,17
128,90650.0,11
129,90660.0,11
130,90670.0,11
131,90680.0,24
132,90701.0,24
133,90703.0,24
134,90706.0,24
135,90710.0,11
136,90712.0,24
137,90713.0,24
138,90715.0,24
139,90716.0,24
140,90717.0,11
141,90720.0,24
142,90723.0,11
143,90731.0,11
144,90732.0,11
145,90740.0,6
146,90742.0,6
147,90743.0,6
148,90744.0,11
149,90745.0,11
150,90746.0,11
151,90805.0,12
152,90808.0,24
153,90810.0,11
154,91001.0,20
155,91006.0,17
156,91007.0,17
157,91008.0,17
158,91010.0,17
159,91011.0,20
160,91016.0,17
161,91020.0,20
162,91024.0,17
163,91030.0,20
164,91040.0,22
165,91042.0,22
166,91046.0,20
167,91101.0,20
168,91103.0,20
169,91104.0,20
170,91105.0,20
171,91106.0,20
172,91107.0,20
173,91108.0,17
174,91201.0,22
175,91202.0,22
176,91203.0,22
177,91204.0,22
178,91205.0,22
179,91206.0,22
180,91207.0,22
181,91208.0,22
182,91210.0,22
183,91214.0,20
184,91301.0,16
185,91302.0,21
186,91303.0,21
187,91304.0,21
188,91306.0,21
189,91307.0,21
190,91311.0,21
191,91316.0,27
192,91320.0,16
193,91321.0,26
194,91324.0,21
195,91325.0,21
196,91326.0,21
197,91330.0,21
198,91331.0,27
199,91335.0,21
200,91340.0,27
201,91342.0,27
202,91343.0,27
203,91344.0,27
204,91345.0,27
205,91350.0,26
206,91351.0,26
207,91352.0,22
208,91354.0,26
209,91355.0,26
210,91356.0,27
211,91360.0,16
212,91361.0,16
213,91362.0,16
214,91364.0,21
215,91367.0,21
216,91377.0,16
217,91381.0,26
218,91384.0,26
219,91387.0,26
220,91390.0,26
221,91401.0,22
222,91402.0,27
223,91403.0,27
224,91405.0,27
225,91406.0,27
226,91411.0,27
227,91423.0,22
228,91436.0,27
229,91501.0,22
230,91502.0,22
231,91504.0,22
232,91505.0,22
233,91506.0,22
234,91601.0,22
235,91602.0,22
236,91604.0,22
237,91605.0,27
238,91606.0,22
239,91607.0,22
240,91612.0,12
241,91701.0,9
242,91702.0,17
243,91706.0,17
244,91708.0,9
245,91709.0,9
246,91710.0,9
247,91711.0,9
248,91722.0,28
249,91723.0,28
250,91724.0,28
251,91730.0,9
252,91731.0,17
253,91732.0,17
254,91733.0,17
255,91737.0,9
256,91739.0,9
257,91740.0,28
258,91741.0,28
259,91744.0,28
260,91745.0,28
261,91746.0,17
262,91747.0,28
263,91748.0,28
264,91750.0,28
265,91752.0,9
266,91754.0,20
267,91755.0,17
268,91761.0,9
269,91762.0,9
270,91763.0,9
271,91764.0,9
272,91765.0,28
273,91766.0,9
274,91767.0,9
275,91768.0,28
276,91770.0,17
277,91773.0,28
278,91775.0,17
279,91776.0,17
280,91780.0,17
281,91784.0,9
282,91785.0,9
283,91786.0,9
284,91789.0,28
285,91790.0,28
286,91791.0,28
287,91792.0,28
288,91801.0,17
289,91803.0,20
290,92201.0,14
291,92203.0,14
292,92210.0,14
293,92211.0,14
294,92220.0,8
295,92223.0,19
296,92225.0,5
297,92227.0,5
298,92230.0,8
299,92231.0,5
300,92233.0,5
301,92234.0,0
302,92236.0,14
303,92239.0,5
304,92240.0,0
305,92241.0,0
306,92243.0,5
307,92249.0,5
308,92250.0,5
309,92251.0,5
310,92252.0,14
311,92253.0,14
312,92254.0,14
313,92256.0,0
314,92257.0,5
315,92258.0,0
316,92260.0,14
317,92262.0,0
318,92264.0,0
319,92270.0,0
320,92273.0,5
321,92274.0,14
322,92276.0,0
323,92277.0,14
324,92281.0,5
325,92282.0,0
326,92284.0,14
327,92301.0,15
328,92308.0,15
329,92313.0,13
330,92316.0,13
331,92317.0,15
